 

stn;time;tre200d0;qtre200d0;mtre200d0
CRM;20140101;2.6;0;0
CRM;20140102;3.1;0;0
CRM;20140103;4.4;0;0
CRM;20140104;5.0;0;0
CRM;20140105;3.9;0;0
CRM;20140106;2.4;0;0
CRM;20140107;5.7;0;0
CRM;20140108;5.6;0;0
CRM;20140109;6.1;0;0
CRM;20140110;5.9;0;0
CRM;20140111;3.8;0;0
CRM;20140112;3.3;0;0
CRM;20140113;4.8;0;0
CRM;20140114;4.5;0;0
CRM;20140115;2.1;0;0
CRM;20140116;2.9;0;0
CRM;20140117;2.5;0;0
CRM;20140118;2.6;0;0
CRM;20140119;2.6;0;0
CRM;20140120;4.2;0;0
CRM;20140121;3.8;0;0
CRM;20140122;2.5;0;0
CRM;20140123;2.7;0;0
CRM;20140124;1.9;0;0
CRM;20140125;0.3;0;0
CRM;20140126;4.9;0;0
CRM;20140127;3.8;0;0
CRM;20140128;0.3;0;-17
CRM;20140129;0.0;0;0
CRM;20140130;0.4;0;0
CRM;20140131;-0.3;0;0
CRM;20140201;0.6;0;0
CRM;20140202;2.6;0;0
CRM;20140203;3.4;0;0
CRM;20140204;2.1;0;0
CRM;20140205;2.9;0;0
CRM;20140206;4.6;0;-1
CRM;20140207;3.3;0;0
CRM;20140208;3.8;0;0
CRM;20140209;4.5;0;0
CRM;20140210;4.3;0;0
CRM;20140211;4.0;0;0
CRM;20140212;5.0;0;0
CRM;20140213;6.0;0;0
CRM;20140214;3.9;0;0
CRM;20140215;4.9;0;0
CRM;20140216;4.1;0;0
CRM;20140217;2.2;0;0
CRM;20140218;2.3;0;-8
CRM;20140219;4.2;0;-1
CRM;20140220;5.3;0;0
CRM;20140221;5.2;0;0
CRM;20140222;4.4;0;0
CRM;20140223;4.8;0;0
CRM;20140224;2.2;0;0
CRM;20140225;4.1;0;0
CRM;20140226;5.5;0;0
CRM;20140227;4.3;0;0
CRM;20140228;4.7;0;0
CRM;20140301;3.8;0;0
CRM;20140302;3.9;0;0
CRM;20140303;3.3;0;-1
CRM;20140304;3.9;0;0
CRM;20140305;5.9;0;0
CRM;20140306;6.2;0;0
CRM;20140307;5.4;0;0
CRM;20140308;8.7;0;0
CRM;20140309;7.0;0;0
CRM;20140310;7.1;0;0
CRM;20140311;8.7;0;0
CRM;20140312;6.7;0;0
CRM;20140313;7.3;0;0
CRM;20140314;7.4;0;0
CRM;20140315;7.1;0;0
CRM;20140316;9.5;0;0
CRM;20140317;9.0;0;0
CRM;20140318;11.0;0;0
CRM;20140319;11.3;0;0
CRM;20140320;10.1;0;0
CRM;20140321;11.3;0;0
CRM;20140322;8.2;0;0
CRM;20140323;5.0;0;0
CRM;20140324;3.3;0;0
CRM;20140325;3.0;0;0
CRM;20140326;4.6;0;0
CRM;20140327;5.4;0;0
CRM;20140328;7.3;0;0
CRM;20140329;8.6;0;0
CRM;20140330;10.0;0;0
CRM;20140331;10.0;0;0
CRM;20140401;10.8;0;0
CRM;20140402;11.6;0;0
CRM;20140403;12.0;0;0
CRM;20140404;13.1;0;0
CRM;20140405;13.8;0;0
CRM;20140406;13.1;0;0
CRM;20140407;12.5;0;0
CRM;20140408;12.4;0;0
CRM;20140409;10.8;0;0
CRM;20140410;12.1;0;0
CRM;20140411;12.6;0;0
CRM;20140412;14.1;0;0
CRM;20140413;14.4;0;0
CRM;20140414;11.4;0;0
CRM;20140415;8.5;0;0
CRM;20140416;8.3;0;0
CRM;20140417;9.1;0;0
CRM;20140418;6.4;0;0
CRM;20140419;5.4;0;0
CRM;20140420;10.2;0;0
CRM;20140421;10.7;0;0
CRM;20140422;12.5;0;0
CRM;20140423;14.7;0;0
CRM;20140424;15.6;0;0
CRM;20140425;13.4;0;0
CRM;20140426;13.6;0;0
CRM;20140427;10.0;0;0
CRM;20140428;8.1;0;0
CRM;20140429;9.4;0;0
CRM;20140430;9.8;0;0
CRM;20140501;10.8;0;0
CRM;20140502;11.6;0;0
CRM;20140503;9.1;0;0
CRM;20140504;9.6;0;0
CRM;20140505;11.1;0;0
CRM;20140506;12.3;0;0
CRM;20140507;12.6;0;0
CRM;20140508;14.0;0;0
CRM;20140509;15.7;0;0
CRM;20140510;15.8;0;0
CRM;20140511;11.2;0;0
CRM;20140512;9.2;0;0
CRM;20140513;8.3;0;0
CRM;20140514;8.7;0;0
CRM;20140515;8.6;0;0
CRM;20140516;12.0;0;0
CRM;20140517;13.7;0;0
CRM;20140518;14.0;0;0
CRM;20140519;17.0;0;0
CRM;20140520;16.6;0;0
CRM;20140521;18.6;0;0
CRM;20140522;16.8;0;0
CRM;20140523;14.2;0;0
CRM;20140524;14.8;0;0
CRM;20140525;16.2;0;0
CRM;20140526;13.3;0;0
CRM;20140527;13.2;0;0
CRM;20140528;13.7;0;0
CRM;20140529;13.8;0;0
CRM;20140530;14.4;0;0
CRM;20140531;14.1;0;0
CRM;20140601;15.1;0;0
CRM;20140602;16.1;0;0
CRM;20140603;15.3;0;0
CRM;20140604;13.5;0;0
CRM;20140605;14.7;0;-1
CRM;20140606;17.1;0;0
CRM;20140607;20.3;0;0
CRM;20140608;22.1;0;0
CRM;20140609;22.9;0;0
CRM;20140610;23.2;0;0
CRM;20140611;22.7;0;0
CRM;20140612;22.5;0;0
CRM;20140613;21.6;0;0
CRM;20140614;19.3;0;0
CRM;20140615;18.3;0;0
CRM;20140616;19.0;0;0
CRM;20140617;18.2;0;0
CRM;20140618;18.4;0;0
CRM;20140619;18.2;0;0
CRM;20140620;18.3;0;-1
CRM;20140621;18.8;0;-1
CRM;20140622;20.0;0;0
CRM;20140623;18.7;0;0
CRM;20140624;17.9;0;0
CRM;20140625;17.9;0;-1
CRM;20140626;18.1;0;-4
CRM;20140627;18.8;0;0
CRM;20140628;18.9;0;0
CRM;20140629;16.1;0;0
CRM;20140630;15.3;0;0
CRM;20140701;17.1;0;-1
CRM;20140702;15.2;0;0
CRM;20140703;17.6;0;0
CRM;20140704;19.2;0;0
CRM;20140705;19.3;0;0
CRM;20140706;20.8;0;0
CRM;20140707;18.1;0;0
CRM;20140708;14.6;0;0
CRM;20140709;13.4;0;0
CRM;20140710;12.4;0;0
CRM;20140711;16.5;0;0
CRM;20140712;17.6;0;-10
CRM;20140713;18.1;0;0
CRM;20140714;18.5;0;0
CRM;20140715;19.6;0;0
CRM;20140716;20.5;0;0
CRM;20140717;22.3;0;0
CRM;20140718;22.8;0;0
CRM;20140719;22.5;0;0
CRM;20140720;19.2;0;0
CRM;20140721;16.7;0;0
CRM;20140722;18.0;0;0
CRM;20140723;21.5;0;0
CRM;20140724;20.4;0;-10
CRM;20140725;19.0;0;-6
CRM;20140726;17.0;0;0
CRM;20140727;18.9;0;0
CRM;20140728;18.3;0;0
CRM;20140729;16.9;0;0
CRM;20140730;17.5;0;0
CRM;20140731;20.4;0;0
CRM;20140801;20.5;0;0
CRM;20140802;20.5;0;0
CRM;20140803;18.2;0;0
CRM;20140804;18.6;0;0
CRM;20140805;19.4;0;0
CRM;20140806;18.2;0;0
CRM;20140807;19.1;0;0
CRM;20140808;21.1;0;0
CRM;20140809;20.7;0;0
CRM;20140810;21.2;0;0
CRM;20140811;17.4;0;0
CRM;20140812;17.0;0;0
CRM;20140813;15.5;0;0
CRM;20140814;14.7;0;0
CRM;20140815;14.3;0;0
CRM;20140816;14.2;0;0
CRM;20140817;14.7;0;0
CRM;20140818;17.2;0;0
CRM;20140819;17.2;0;0
CRM;20140820;15.3;0;0
CRM;20140821;15.0;0;0
CRM;20140822;15.7;0;0
CRM;20140823;15.2;0;0
CRM;20140824;14.0;0;0
CRM;20140825;12.7;0;0
CRM;20140826;16.6;0;0
CRM;20140827;17.7;0;0
CRM;20140828;17.8;0;0
CRM;20140829;18.5;0;0
CRM;20140830;18.6;0;0
CRM;20140831;15.5;0;0
CRM;20140901;14.7;0;0
CRM;20140902;15.2;0;0
CRM;20140903;15.8;0;0
CRM;20140904;17.8;0;-1
CRM;20140905;17.9;0;0
CRM;20140906;18.3;0;0
CRM;20140907;19.3;0;0
CRM;20140908;18.9;0;0
CRM;20140909;18.9;0;0
CRM;20140910;18.7;0;0
CRM;20140911;16.0;0;0
CRM;20140912;13.5;0;0
CRM;20140913;15.9;0;0
CRM;20140914;16.5;0;0
CRM;20140915;16.5;0;0
CRM;20140916;17.9;0;0
CRM;20140917;18.7;0;0
CRM;20140918;-;-;-
CRM;20140919;-;-;-
CRM;20140920;-;-;-
CRM;20140921;-;-;-
CRM;20140922;-;-;-
CRM;20140923;-;-;-
CRM;20140924;-;-;-
CRM;20140925;-;-;-
CRM;20140926;12.3;0;-2
CRM;20140927;14.7;0;0
CRM;20140928;14.1;0;0
CRM;20140929;15.5;0;0
CRM;20140930;16.0;0;0
CRM;20141001;16.0;0;0
CRM;20141002;16.1;0;0
CRM;20141003;15.4;0;0
CRM;20141004;13.8;0;0
CRM;20141005;13.8;0;0
CRM;20141006;13.7;0;0
CRM;20141007;15.0;0;0
CRM;20141008;14.8;0;0
CRM;20141009;15.7;0;0
CRM;20141010;16.1;0;0
CRM;20141011;15.3;0;0
CRM;20141012;13.8;0;0
CRM;20141013;14.2;0;0
CRM;20141014;13.0;0;0
CRM;20141015;14.0;0;0
CRM;20141016;14.1;0;0
CRM;20141017;16.2;0;0
CRM;20141018;12.5;0;0
CRM;20141019;13.4;0;0
CRM;20141020;14.4;0;0
CRM;20141021;14.8;0;0
CRM;20141022;7.0;0;-1
CRM;20141023;7.9;0;-5
CRM;20141024;7.6;0;0
CRM;20141025;10.0;0;0
CRM;20141026;10.0;0;0
CRM;20141027;10.3;0;0
CRM;20141028;9.0;0;0
CRM;20141029;8.7;0;0
CRM;20141030;10.1;0;0
CRM;20141031;8.5;0;0
CRM;20141101;8.3;0;0
CRM;20141102;8.9;0;0
CRM;20141103;8.4;0;0
CRM;20141104;8.6;0;0
CRM;20141105;5.8;0;0
CRM;20141106;5.9;0;0
CRM;20141107;6.8;0;0
CRM;20141108;6.8;0;0
CRM;20141109;6.9;0;0
CRM;20141110;8.3;0;0
CRM;20141111;7.3;0;0
CRM;20141112;8.1;0;0
CRM;20141113;8.4;0;0
CRM;20141114;6.2;0;0
CRM;20141115;8.3;0;0
CRM;20141116;9.2;0;0
CRM;20141117;6.9;0;0
CRM;20141118;6.3;0;0
CRM;20141119;6.4;0;0
CRM;20141120;4.3;0;0
CRM;20141121;5.5;0;0
CRM;20141122;6.4;0;0
CRM;20141123;6.2;0;0
CRM;20141124;7.7;0;0
CRM;20141125;8.6;0;0
CRM;20141126;8.9;0;0
CRM;20141127;8.5;0;0
CRM;20141128;6.4;0;0
CRM;20141129;4.0;0;0
CRM;20141130;4.1;0;0
CRM;20141201;4.0;0;0
CRM;20141202;4.4;0;0
CRM;20141203;4.7;0;0
CRM;20141204;4.6;0;0
CRM;20141205;4.2;0;0
CRM;20141206;4.2;0;0
CRM;20141207;4.1;0;0
CRM;20141208;4.1;0;0
CRM;20141209;2.6;0;0
CRM;20141210;1.7;0;0
CRM;20141211;5.5;0;0
CRM;20141212;6.2;0;0
CRM;20141213;5.2;0;0
CRM;20141214;6.0;0;0
CRM;20141215;7.1;0;0
CRM;20141216;6.4;0;0
CRM;20141217;4.5;0;0
CRM;20141218;7.9;0;0
CRM;20141219;9.8;0;0
CRM;20141220;7.8;0;0
CRM;20141221;3.4;0;0
CRM;20141222;2.0;0;0
CRM;20141223;1.0;0;0
CRM;20141224;4.4;0;0
CRM;20141225;5.7;0;0
CRM;20141226;1.6;0;0
CRM;20141227;1.2;0;0
CRM;20141228;-1.0;0;0
CRM;20141229;-5.0;0;-8
CRM;20141230;-2.2;0;0
