 

stn;time;rka150d0
CRM;20140101;0.9
CRM;20140102;14.5
CRM;20140103;3.2
CRM;20140104;21.7
CRM;20140105;1.3
CRM;20140106;0.0
CRM;20140107;0.0
CRM;20140108;0.0
CRM;20140109;0.0
CRM;20140110;0.0
CRM;20140111;0.0
CRM;20140112;0.0
CRM;20140113;3.2
CRM;20140114;0.7
CRM;20140115;0.2
CRM;20140116;24.3
CRM;20140117;3.5
CRM;20140118;0.0
CRM;20140119;0.0
CRM;20140120;0.0
CRM;20140121;0.1
CRM;20140122;0.0
CRM;20140123;4.2
CRM;20140124;3.0
CRM;20140125;0.0
CRM;20140126;4.6
CRM;20140127;8.5
CRM;20140128;0.0
CRM;20140129;0.0
CRM;20140130;0.0
CRM;20140131;0.0
CRM;20140201;5.8
CRM;20140202;1.4
CRM;20140203;0.1
CRM;20140204;0.3
CRM;20140205;4.1
CRM;20140206;0.0
CRM;20140207;24.3
CRM;20140208;9.3
CRM;20140209;0.1
CRM;20140210;0.5
CRM;20140211;1.9
CRM;20140212;0.0
CRM;20140213;16.6
CRM;20140214;0.9
CRM;20140215;14.9
CRM;20140216;5.6
CRM;20140217;0.0
CRM;20140218;0.0
CRM;20140219;0.0
CRM;20140220;1.5
CRM;20140221;4.6
CRM;20140222;5.1
CRM;20140223;0.0
CRM;20140224;0.0
CRM;20140225;0.1
CRM;20140226;7.7
CRM;20140227;2.4
CRM;20140228;3.3
CRM;20140301;0.3
CRM;20140302;0.0
CRM;20140303;6.3
CRM;20140304;1.8
CRM;20140305;0.0
CRM;20140306;0.0
CRM;20140307;0.0
CRM;20140308;0.0
CRM;20140309;0.0
CRM;20140310;0.0
CRM;20140311;0.0
CRM;20140312;0.0
CRM;20140313;0.0
CRM;20140314;0.0
CRM;20140315;0.0
CRM;20140316;0.0
CRM;20140317;0.0
CRM;20140318;0.0
CRM;20140319;0.0
CRM;20140320;0.0
CRM;20140321;0.0
CRM;20140322;12.0
CRM;20140323;2.8
CRM;20140324;3.9
CRM;20140325;0.0
CRM;20140326;0.0
CRM;20140327;0.0
CRM;20140328;0.0
CRM;20140329;0.0
CRM;20140330;0.0
CRM;20140331;0.0
CRM;20140401;0.0
CRM;20140402;0.0
CRM;20140403;0.0
CRM;20140404;0.0
CRM;20140405;0.0
CRM;20140406;0.0
CRM;20140407;0.0
CRM;20140408;6.6
CRM;20140409;0.0
CRM;20140410;0.0
CRM;20140411;0.0
CRM;20140412;0.0
CRM;20140413;0.0
CRM;20140414;0.0
CRM;20140415;0.0
CRM;20140416;0.0
CRM;20140417;0.2
CRM;20140418;0.9
CRM;20140419;0.0
CRM;20140420;0.0
CRM;20140421;6.5
CRM;20140422;0.3
CRM;20140423;0.7
CRM;20140424;0.0
CRM;20140425;11.7
CRM;20140426;4.7
CRM;20140427;10.5
CRM;20140428;26.4
CRM;20140429;0.4
CRM;20140430;9.7
CRM;20140501;3.4
CRM;20140502;2.3
CRM;20140503;0.5
CRM;20140504;0.0
CRM;20140505;0.0
CRM;20140506;2.6
CRM;20140507;3.8
CRM;20140508;0.2
CRM;20140509;0.0
CRM;20140510;0.6
CRM;20140511;10.4
CRM;20140512;1.2
CRM;20140513;8.9
CRM;20140514;2.4
CRM;20140515;0.9
CRM;20140516;0.0
CRM;20140517;0.0
CRM;20140518;0.0
CRM;20140519;0.0
CRM;20140520;0.0
CRM;20140521;0.0
CRM;20140522;8.2
CRM;20140523;25.6
CRM;20140524;0.2
CRM;20140525;12.3
CRM;20140526;3.5
CRM;20140527;6.7
CRM;20140528;0.0
CRM;20140529;0.0
CRM;20140530;0.0
CRM;20140531;0.0
CRM;20140601;0.0
CRM;20140602;1.1
CRM;20140603;0.0
CRM;20140604;7.8
CRM;20140605;0.0
CRM;20140606;0.0
CRM;20140607;0.0
CRM;20140608;0.0
CRM;20140609;2.1
CRM;20140610;0.9
CRM;20140611;0.0
CRM;20140612;3.9
CRM;20140613;0.0
CRM;20140614;0.0
CRM;20140615;0.0
CRM;20140616;0.0
CRM;20140617;0.0
CRM;20140618;0.0
CRM;20140619;0.0
CRM;20140620;0.0
CRM;20140621;1.8
CRM;20140622;0.1
CRM;20140623;31.7
CRM;20140624;7.4
CRM;20140625;0.0
